loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,sub_class,work_type,employer_type,industry,work_year,house_exist,house_loan_status,censor_status,marriage,offsprings,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,pub_dero_bankrup,early_return,early_return_amount,early_return_amount_3mon,recircle_b,recircle_u,initial_list_status,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,f5,isDefault
414778,240,16000,5,19.42,418.76,D,D3,其他,普通企业,电力、热力生产供应业,10+ years,2,2,2,0,0,2018-03-01,4,114.0,13,31.87,0.0,720.0,724.0,0.0,0,0,0.0,7582.0,70.9,0,Apr-1997,4.0,1.0,4.0,0.0,8.0,7.0,3.0,0.0,1
697588,359,20000,5,7.34,399.25,A,A4,其他,政府机构,信息传输、软件和信息技术服务业,,0,2,0,0,0,2018-02-01,2,69.0,26,10.21,0.0,825.0,829.0,0.0,0,0,0.0,10274.0,6.9,0,Sep-1986,5.0,1.0,4.0,0.0,4.0,25.0,19.0,0.0,0
88991,403,2400,3,15.61,83.92,D,D1,职员,上市企业,电力、热力生产供应业,2 years,1,1,1,1,5,2015-05-01,4,402.0,0,20.9,0.0,780.0,784.0,0.0,0,0,0.0,752.0,4.4,1,Mar-2009,4.0,1.0,4.0,0.0,6.0,5.0,4.0,0.0,0
210862,491,25200,5,12.99,573.25,C,C2,职员,普通企业,批发和零售业,8 years,0,1,0,0,0,2016-03-01,0,129.0,30,14.35,0.0,810.0,814.0,0.0,0,0,0.0,17915.0,27.8,0,Mar-1989,0.0,1.0,5.0,0.0,5.0,16.0,12.0,0.0,1
365687,665,14250,3,13.99,486.97,C,C4,工人,普通企业,信息传输、软件和信息技术服务业,9 years,0,0,1,1,2,2015-03-01,0,109.0,21,22.2,0.0,720.0,724.0,0.0,0,0,0.0,42906.0,69.1,1,Feb-1994,0.0,1.0,7.0,0.0,0.0,14.0,6.0,0.0,0
546480,677,35000,5,11.44,768.69,B,B4,其他,政府机构,金融业,10+ years,1,1,2,1,5,2015-01-01,3,275.0,8,2.85,0.0,845.0,850.0,0.0,0,0,0.0,4505.0,0.0,0,May-1990,3.0,1.0,1.0,0.0,2.0,15.0,10.0,0.0,0
308378,819,34800,5,15.22,831.92,C,C3,工人,政府机构,金融业,< 1 year,0,0,1,0,0,2013-09-01,1,468.0,0,0.61,1.0,835.0,839.0,0.0,0,0,0.0,2722.0,9.6,0,Dec-1992,1.0,1.0,3.0,0.0,2.0,9.0,6.0,0.0,0
202263,927,6800,3,6.08,207.12,A,A2,工人,普通企业,住宿和餐饮业,10+ years,0,1,1,1,5,2018-02-01,0,404.0,22,12.93,0.0,810.0,814.0,0.0,0,0,0.0,34622.0,44.2,0,Jul-1997,0.0,1.0,4.0,0.0,4.0,13.0,7.0,0.0,0
277150,1416,35000,3,13.11,1181.15,B,B4,工人,幼教与中小学校,金融业,9 years,0,0,2,0,0,2013-06-01,0,466.0,36,7.4,0.0,755.0,759.0,0.0,0,0,0.0,39428.0,55.7,1,Apr-1991,0.0,1.0,7.0,0.0,16.0,22.0,14.0,0.0,0
694905,1593,15000,3,14.99,519.91,C,C4,其他,上市企业,房地产业,5 years,0,0,0,0,0,2017-02-01,4,9.0,7,33.89,0.0,720.0,724.0,1.0,0,0,0.0,10634.0,29.4,0,Jun-2002,4.0,1.0,6.0,0.0,32.0,20.0,9.0,0.0,0
103130,1776,13800,5,20.49,369.39,E,E4,其他,幼教与中小学校,金融业,7 years,2,1,1,0,0,2015-05-01,0,74.0,30,34.02,0.0,720.0,724.0,0.0,0,0,0.0,21529.0,58.8,0,Aug-1994,0.0,1.0,8.0,0.0,3.0,27.0,13.0,0.0,1
675989,2069,10500,3,10.99,343.71,B,B4,工人,普通企业,采矿业,7 years,2,2,2,0,0,2015-11-01,0,603.0,13,28.85,0.0,735.0,739.0,0.0,0,0,0.0,9401.0,106.8,1,Sep-2000,0.0,1.0,1.0,0.0,4.0,3.0,3.0,0.0,1
470763,2515,22500,3,11.53,742.29,B,B5,其他,幼教与中小学校,房地产业,10+ years,0,0,0,0,0,2015-08-01,4,125.0,9,16.96,0.0,760.0,764.0,0.0,0,0,0.0,24539.0,57.3,0,Jul-1997,4.0,1.0,5.0,0.0,1.0,8.0,7.0,0.0,0
30951,2575,3325,3,14.99,115.25,C,C4,其他,普通企业,电力、热力生产供应业,2 years,1,0,1,0,0,2017-04-01,0,14.0,11,3.72,0.0,720.0,724.0,0.0,0,0,0.0,787.0,43.7,0,Feb-2013,0.0,1.0,2.0,0.0,4.0,3.0,2.0,0.0,1
128212,2638,13600,3,8.39,428.63,A,A5,其他,政府机构,公共服务、社会组织,7 years,0,2,0,1,1,2014-07-01,0,158.0,9,14.06,0.0,740.0,744.0,0.0,1,128,34.303609136344114,12464.0,49.3,1,Oct-2001,0.0,1.0,3.0,0.0,3.0,11.0,8.0,0.0,0
424529,2928,15000,3,9.88,483.16,B,B1,公务员,普通企业,国际组织,4 years,0,1,0,0,0,2010-04-01,0,162.0,2,12.62,1.0,745.0,749.0,0.0,0,0,0.0,13459.0,71.6,1,Dec-1992,15231.0,1.0,,,,,,,0
673108,2965,24000,5,14.16,560.44,C,C2,工人,普通企业,信息传输、软件和信息技术服务业,10+ years,0,1,1,1,2,2014-03-01,0,124.0,13,20.13,0.0,730.0,734.0,0.0,2,210,78.77063894539907,56993.0,68.8,0,Nov-1994,0.0,1.0,5.0,0.0,11.0,22.0,15.0,0.0,0
730051,2966,16000,5,8.9,331.36,A,A5,其他,政府机构,金融业,10+ years,0,0,2,1,0,2013-07-01,4,29.0,19,13.64,0.0,795.0,799.0,0.0,0,0,0.0,17499.0,20.5,1,Feb-1994,37221.0,1.0,11.0,0.0,7.0,14.0,8.0,0.0,0
383861,3092,7200,3,18.55,262.29,D,D2,其他,普通企业,金融业,2 years,1,1,1,1,1,2013-10-01,1,275.0,8,10.56,0.0,720.0,724.0,0.0,0,0,0.0,3596.0,83.6,0,Sep-2003,106.0,1.0,2.0,0.0,3.0,9.0,7.0,0.0,0
456977,3211,10000,3,16.29,353.01,C,C4,公务员,普通企业,批发和零售业,10+ years,0,1,0,1,1,2013-06-01,10,168.0,22,26.12,0.0,720.0,724.0,1.0,0,0,0.0,8159.0,40.8,1,Dec-1967,39348.0,1.0,5.0,0.0,31.0,10.0,3.0,0.0,0
477554,3562,16850,3,19.99,626.13,D,D4,工程师,普通企业,采矿业,9 years,0,0,1,1,2,2016-12-01,0,81.0,15,20.96,0.0,720.0,724.0,1.0,0,0,0.0,8577.0,25.4,0,Aug-2003,0.0,1.0,3.0,0.0,5.0,17.0,8.0,0.0,0
403682,4056,16000,3,14.09,547.55,B,B5,工程师,政府机构,金融业,3 years,0,2,1,0,0,2013-05-01,0,4.0,3,16.59,0.0,745.0,749.0,0.0,0,0,0.0,13333.0,37.2,0,Jul-1991,193.0,1.0,4.0,0.0,7.0,9.0,9.0,0.0,0
165269,4117,30000,3,8.9,952.6,A,A5,工人,上市企业,文化和体育业,5 years,0,0,2,1,2,2013-01-01,0,115.0,8,19.73,0.0,780.0,784.0,0.0,0,0,0.0,15378.0,24.8,1,Dec-1978,137.0,1.0,11.0,0.0,5.0,32.0,13.0,0.0,0
687350,4242,26000,3,11.99,863.45,C,C1,工人,政府机构,住宿和餐饮业,5 years,0,1,0,0,0,2016-01-01,0,595.0,23,20.36,0.0,730.0,734.0,0.0,0,0,0.0,33112.0,76.8,0,May-2002,0.0,1.0,13.0,0.0,5.0,17.0,5.0,0.0,0
658752,4267,6400,3,16.02,225.07,C,C5,职员,普通企业,住宿和餐饮业,3 years,1,0,1,1,3,2017-12-01,4,406.0,8,32.2,0.0,720.0,724.0,0.0,0,0,0.0,10801.0,75.0,1,Jul-2008,4.0,1.0,3.0,0.0,3.0,4.0,2.0,0.0,0
502562,4296,10900,3,5.32,328.26,A,A1,其他,政府机构,交通运输、仓储和邮政业,10+ years,0,1,2,1,1,2016-12-01,0,305.0,15,4.69,0.0,770.0,774.0,0.0,1,78,45.882940445198564,116239.0,6.8,0,Sep-1986,0.0,1.0,3.0,0.0,5.0,23.0,9.0,0.0,0
