loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault
1040418,240418,31818.18182,3,11.466,1174.91,C,政府机构,金融业,3 years,0,1,2016/10/1,2,193,13,2.43,0,556.3636364,649.0909091,3,0,0.0,7734.230769,91.8,0,0,1-Dec,5,1,1.0,0.0,4.0,5.0,4.0,3,9927,0.0,0.0
1025197,225197,28000.0,5,16.841,670.69,C,政府机构,金融业,10+ years,0,2,2013/6/1,0,491,30,11.00454545,1,715.0,893.75,3,0,0.0,31329.0,54.8,1,0,Apr-90,40642,1,7.0,0.0,4.0,45.0,22.0,0,0,0.0,0.0
1009360,209360,17272.72727,3,8.9,603.32,A,政府机构,公共服务、社会组织,10+ years,1,0,2014/1/1,4,459,8,6.409090909,0,774.5454545,903.6363636,5,0,0.0,18514.0,57.69230769,1,0,Oct-91,154,1,6.0,0.0,6.0,28.0,19.0,0,0,0.0,0.0
1039708,239708,20000.0,3,4.788,602.3,A,世界五百强,文化和体育业,6 years,0,1,2015/7/1,0,157,8,9.204545455,0,750.0,875.0,3,0,0.0,20707.0,42.6,0,0,1-Jun,0,1,5.0,0.0,10.0,15.0,9.0,0,0,0.0,0.0
1027483,227483,15272.72727,3,12.79,470.31,C,政府机构,信息传输、软件和信息技术服务业,< 1 year,2,1,2016/7/1,0,38,21,15.57818182,0,609.0909091,710.6060606,15,0,0.0,14016.15385,30.46153846,0,0,2-May,0,1,10.0,0.0,6.0,15.0,4.0,0,0,0.0,0.0
1047529,247529,25454.54545,3,10.637,899.15,B,幼教与中小学校,信息传输、软件和信息技术服务业,10+ years,0,1,2013/11/1,0,258,8,15.80727273,0,636.3636364,689.3939394,4,0,0.0,16084.92308,58.89230769,0,0,Jan-83,28,1,6.0,0.0,6.0,20.0,15.0,0,0,0.0,0.0
1030964,230964,9090.909091,5,15.741,234.3,C,高等教育机构,金融业,10+ years,1,2,2014/12/1,0,58,17,4.243636364,1,600.0,650.0,9,1,1.0,1527.076923,17.01538462,0,0,2-Oct,0,1,4.0,0.0,9.0,25.0,6.0,0,0,0.0,0.0
1024822,224822,10288.63636,3,11.49,414.62,B,普通企业,制造业,2 years,1,1,2017/3/1,4,242,8,2.227272727,0,690.0,805.0,4,0,0.0,5082.0,34.7,0,0,8-Oct,4,1,4.0,0.0,0.0,9.0,9.0,0,0,0.0,0.0
1008720,208720,6818.181818,3,20.064,272.05,D,普通企业,金融业,,0,2,2014/7/1,0,165,17,22.93090909,0,600.0,750.0,9,1,1.0,18810.0,88.61538462,0,0,Nov-71,0,1,6.0,0.0,2.0,34.0,22.0,0,0,0.0,0.0
1045305,245305,10800.0,3,14.33,339.95,C,幼教与中小学校,住宿和餐饮业,4 years,1,1,2013/7/1,0,263,0,21.22363636,0,564.5454545,705.6818182,8,0,0.0,3433.846154,93.34615385,0,0,1-Dec,37768,1,3.0,0.0,15.0,6.0,6.0,0,0,0.0,0.0
1007760,207760,14727.27273,5,12.897,421.92,C,政府机构,建筑业,3 years,1,1,2013/7/1,0,14,11,24.5,0,636.3636364,689.3939394,18,0,0.0,27758.76923,69.1,1,0,4-Jul,35995,1,4.0,0.0,8.0,11.0,9.0,0,0,0.0,0.0
